code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
EG043,2024J,96390,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,21.0,N,inProgress
EG043,2024J,35515,M,Saint Hilaire,A Level or Equivalent,20-30%,> 35,1.0,0.0,N,inProgress
EG043,2024J,18020,F,Cleveland DSC,A Level or Equivalent,20-30%,> 35,2.0,8.0,N,inProgress
EG043,2024J,74130,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,4.0,8.0,N,inProgress
EG043,2024J,56881,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,5.0,19.0,N,inProgress
EG043,2024J,56972,M,Cleveland DSC,A Level or Equivalent,20-30%,20-25,1.0,18.0,N,inProgress
EG043,2024J,13048,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,3.0,19.0,N,inProgress
EG043,2024J,86699,F,Cleveland DSC,A Level or Equivalent,20-30%,> 35,3.0,16.0,N,inProgress
EG043,2024J,77830,M,Cleveland DSC,A Level or Equivalent,30-40%,25-30,4.0,18.0,N,inProgress
EG043,2024J,81284,M,Cleveland DSC,A Level or Equivalent,40-50%,25-30,2.0,27.0,N,inProgress
EG043,2024J,87817,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,3.0,5.0,N,inProgress
EG043,2024J,47025,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,98019,M,Cleveland DSC,A Level or Equivalent,20-30%,20-25,2.0,24.0,N,inProgress
EG043,2024J,66744,M,Cleveland DSC,A Level or Equivalent,20-30%,20-25,3.0,19.0,N,inProgress
EG043,2024J,73283,F,Cleveland DSC,A Level or Equivalent,40-50%,18-20,2.0,3.0,N,inProgress
EG043,2024J,87327,M,Cleveland DSC,A Level or Equivalent,20-30%,20-25,1.0,13.0,N,inProgress
EG043,2024J,60304,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,1.0,15.0,N,inProgress
EG043,2024J,86546,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,11.0,N,inProgress
EG043,2024J,83798,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,19.0,N,inProgress
EG043,2024J,11433,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,4.0,N,inProgress
EG043,2024J,31768,M,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,40679,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,3.0,28.0,N,inProgress
EG043,2024J,35123,M,Cleveland DSC,A Level or Equivalent,20-30%,30-35,2.0,8.0,N,inProgress
EG043,2024J,29288,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,13.0,N,inProgress
EG043,2024J,45283,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,58540,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,18.0,N,inProgress
EG043,2024J,64488,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,59658,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,48475,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,8.0,N,inProgress
EG043,2024J,19489,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,8.0,N,inProgress
EG043,2024J,91816,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,14.0,N,inProgress
EG043,2024J,94378,M,Cleveland DSC,A Level or Equivalent,60-70%,30-35,1.0,0.0,N,inProgress
EG043,2024J,82643,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress
EG043,2024J,53448,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress
EG043,2024J,30640,F,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress
EG043,2024J,39638,F,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress
EG043,2024J,53612,M,Cleveland DSC,A Level or Equivalent,40-50%,18-20,1.0,0.0,N,inProgress
EG043,2024J,89225,M,Wu DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress
EG043,2024J,65578,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress
EG043,2024J,27418,M,Cleveland DSC,A Level or Equivalent,20-30%,30-35,1.0,0.0,N,inProgress
EG043,2024J,85177,M,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress
EG043,2024J,17983,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress
EG043,2024J,30085,F,Cleveland DSC,A Level or Equivalent,60-70%,18-20,1.0,0.0,N,inProgress
EG043,2024J,49959,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,1.0,0.0,N,inProgress
EG043,2024J,95149,F,Jhon Tukey,A Level or Equivalent,20-30%,18-20,1.0,0.0,N,inProgress
EG043,2024J,81109,M,Cleveland DSC,A Level or Equivalent,20-30%,30-35,6.0,43.0,N,inProgress
EG043,2024J,82124,M,Codd RDBMS,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,93027,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,28899,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,3.0,125.0,N,inProgress
EG043,2024J,58716,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,59393,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,6.0,43.0,N,inProgress
EG043,2024J,84557,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,6.0,131.0,N,inProgress
EG043,2024J,52272,F,Cleveland DSC,A Level or Equivalent,20-30%,30-35,4.0,31.0,N,inProgress
EG043,2024J,86323,F,Cleveland DSC,A Level or Equivalent,,,,,N,inProgress
EG043,2024J,41730,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,5.0,25.0,N,inProgress
EG043,2024J,40262,F,Cleveland DSC,A Level or Equivalent,40-50%,25-30,3.0,23.0,N,inProgress
EG043,2024J,23325,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,3.0,31.0,N,inProgress
EG043,2024J,46658,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,6.0,88.0,N,inProgress
EG043,2024J,68154,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,6.0,35.0,N,inProgress
EG043,2024J,48481,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,3.0,44.0,N,inProgress
EG043,2024J,16108,F,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,34.0,N,inProgress
EG043,2024J,62868,F,Cleveland DSC,A Level or Equivalent,20-30%,30-35,8.0,2.0,N,inProgress
EG043,2024J,40067,F,Cleveland DSC,A Level or Equivalent,20-30%,25-30,2.0,3.0,N,inProgress
EG043,2024J,57795,F,Wu DSC,A Level or Equivalent,20-30%,20-25,2.0,37.0,N,inProgress
EG043,2024J,41087,F,Peter Chen,A Level or Equivalent,50-60%,20-25,5.0,52.0,N,inProgress
EG043,2024J,23228,F,Cleveland DSC,A Level or Equivalent,20-30%,20-25,1.0,16.0,N,inProgress
EG043,2024J,40007,M,Cleveland DSC,A Level or Equivalent,20-30%,18-20,2.0,17.0,N,inProgress
EG043,2024J,38997,F,Cleveland DSC,A Level or Equivalent,20-30%,> 35,1.0,12.0,N,inProgress
