code_module,code_presentation,id_student,id_site,date,sum_click
EG043,2024J,40262,524608,7,1
EG043,2024J,91816,524608,6,1
EG043,2024J,40067,524608,7,1
EG043,2024J,68154,524608,8,1
EG043,2024J,58540,524608,6,2
EG043,2024J,24262,524608,6,1
EG043,2024J,52272,524608,6,2
EG043,2024J,52272,524608,7,6
EG043,2024J,66744,524608,12,1
EG043,2024J,13048,524608,6,1
EG043,2024J,80194,524608,7,3
EG043,2024J,18020,524608,6,2
EG043,2024J,18020,524608,9,1
EG043,2024J,18020,524608,11,1
EG043,2024J,77830,524608,7,1
EG043,2024J,82643,524608,6,1
EG043,2024J,82643,524608,7,3
EG043,2024J,82643,524608,8,1
EG043,2024J,59393,524608,9,1
EG043,2024J,48481,524608,6,1
EG043,2024J,87817,524608,6,2
EG043,2024J,87817,524608,7,3
EG043,2024J,91596,524608,6,1
EG043,2024J,91596,524608,7,1
EG043,2024J,30640,524608,6,2
EG043,2024J,94378,524608,6,2
EG043,2024J,94378,524608,7,7
EG043,2024J,40679,524608,6,2
EG043,2024J,40679,524608,7,1
EG043,2024J,40679,524608,9,1
EG043,2024J,19489,524608,7,3
EG043,2024J,19489,524608,11,1
EG043,2024J,85177,524608,6,1
EG043,2024J,85177,524608,8,1
EG043,2024J,74130,524608,6,1
EG043,2024J,74130,524608,7,9
EG043,2024J,87327,524608,6,2
EG043,2024J,87327,524608,7,2
EG043,2024J,56881,524608,6,1
EG043,2024J,56881,524608,7,1
EG043,2024J,89225,524608,7,1
CG0C8,2024J,45448,524608,7,1
CG0C8,2024J,69660,524608,7,2
CG0C8,2024J,13968,524608,11,1
CG0C8,2024J,73468,524608,7,3
CG0C8,2024J,21816,524608,8,1
CG0C8,2024J,72366,524608,7,1
CG0C8,2024J,76964,524608,8,1
CG0C8,2024J,65041,524608,8,1
CG0C8,2024J,25874,524608,7,2
CG0C8,2024J,15550,524608,9,2
CG0C8,2024J,36234,524608,7,3
CG0C8,2024J,81882,524608,8,1
CG0C8,2024J,81882,524608,9,1
CG0C8,2024J,46744,524608,7,1
CG0C8,2024J,84482,524608,7,2
CG0C8,2024J,84482,524608,8,1
CG0C8,2024J,44509,524608,8,1
CG0C8,2024J,49188,524608,8,3
CG0C8,2024J,81912,524608,7,1
CG0C8,2024J,45857,524608,7,2
CG0C8,2024J,45857,524608,8,2
EG043,2024J,81109,586178,7,1
EG043,2024J,40262,586178,7,1
EG043,2024J,40067,586178,7,1
EG043,2024J,58540,586178,6,1
EG043,2024J,24262,586178,9,1
EG043,2024J,52272,586178,6,1
EG043,2024J,66744,586178,12,2
EG043,2024J,23228,586178,6,1
EG043,2024J,53612,586178,7,3
EG043,2024J,13048,586178,6,1
EG043,2024J,77830,586178,7,1
EG043,2024J,35123,586178,7,4
EG043,2024J,82643,586178,7,1
EG043,2024J,49959,586178,9,1
